WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD
0xff8ea16ae5542fe289d6a2a2142de1fb8a3ba073,1.833333,1,1,8342.27,1,62,758.388181818,563.137337097,0,0,0,0,0,0,0,0,11,0,0,0,0
0x3a02dd24bb2fb2655c154b851e87aa0c4bcc1ca9,16.333333,9,8,160.89,7,51,1.375128205,1.670675494,0,0,4,0,0,0,12,0,0,0,10,0,41.24
0x5e313d65611db9e1c0449d695294b50ca65779df,6.333333,4,11,605.34,11,144,7.965,5.671900846,0,0,0,14,0,0,3,0,7,0,1,0,11.59
0x312943753f2b693b8736cc01f79f356bcf1aa006,3.666667,5,10,7910.21,8,65,329.592083333,148.197346101,3,0,0,0,0,2,3,0,1,0,1,0,324.46
0x3b904a9b8edbd9972dc4230ff2c4fba7be74ae4b,5.166667,10,15,107.09,11,17,1.69984127,2.054991208,1,0,0,5,0,0,1,0,5,0,0,0,0
0xf5458f7ee644265d90ef5345275b3d02104fa146,6.166667,1,1,591.26,1,62,15.98,14.924116887,0,0,0,0,0,0,37,0,0,0,37,0,591.26
0xb073688fd511ebc5fc9c4fecf474dd8f6b159b35,2.000000,1,1,891.58,1,34,74.298333333,62.378559462,0,0,0,0,0,0,12,0,0,0,12,0,891.58
0xf0e1f76150c040875f2f95a271f61dee4e8e3a3b,1.666667,1,1,31748.28,1,156,3174.828,6049.603051389,0,0,0,0,0,0,0,0,10,0,0,0,0
0x8a06a56714f52313e62bf648d1a6bb836ab68dc4,16.166667,3,6,7.9,8,67,0.7181818182,0.5040349588,0,0,0,0,0,0,3,0,0,0,0,0,0
0x2878ca130ca984afb3595b466d25bd110a31156b,1.666667,10,5,1163.58,5,128,29.0895,41.416451861,0,0,0,0,0,0,1,0,4,0,0,0,0
0xe9624ba07ae997ab15255737a0fb10be948fb8ae,2.166667,1,2,100.01,2,39,8.334166667,6.656913021,0,0,0,0,0,0,12,0,0,0,12,0,100.01
0x55acccb8a701f2020dfd039001c478ae83b8649d,14.500000,13,14,52459.86,14,61,238.453909091,575.855232549,11,0,0,0,0,3,0,0,2,0,0,0,0
