WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_WEIGHTED_DIST,CEX_EVENTS_WEIGHTED_DIST,BRIDGE_EVENTS_WEIGHTED_DIST,DEFI_EVENTS_WEIGHTED_DIST
0xf92ad477a86ff6bceaad38c38800b27493c2d8cd,45.0,3,11,26211.57,13,150,32.560956522,158.575475833,38,0,0,0,0,14,0,0,16,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-0.260989010989011,0.0,0.0,-0.020710059171597635
0x14e2cffa5aabcdab9c6ee5ada8a8c1539c8ee9f0,31.166667,3,8,35875.04,10,149,66.190110701,393.725819179,28,0,0,0,0,6,0,0,2,0,0,0,0.0,9,28.0,2.0,19.0,13.0,0.0,0.0,0.0,0.09502262443438914
0xd679bfd7708be99ab95301cab14951590b6ed7e4,41.0,7,20,26832.67,15,151,35.21347769,111.378890246,32,0,0,0,0,3,0,0,5,0,0,0,0.0,4,28.0,2.0,19.0,13.0,-0.13061224489795917,0.0,0.0,0.06593406593406594
0xac78127d37c510cb5ca86e00ddee92f463a1eaad,61.833333,3,9,23818.26,12,161,39.565215947,159.021372843,13,0,0,0,0,3,0,0,4,0,0,0,0.0,0,28.0,2.0,19.0,13.0,0.43526785714285715,0.0,0.0,0.14423076923076925
0x7f62266ce9b9af7f76204fc434bf14d8a357f5aa,493.833333,6,175,765242.0,16,133,133.039290682,301.225547796,643,0,0,0,0,114,2,0,201,0,2,0,1408.47,10,28.0,2.0,19.0,13.0,-18.60742518351214,0.0,0.0023576728382220372,-1.1669200364852539
0x7783677f7a4ad456be96d0b922eb7b3d926cdedc,13.5,6,28,14322.18,13,77,108.501363636,219.815315728,25,0,0,0,0,4,1,0,3,0,0,0,0.0,8,28.0,2.0,19.0,13.0,0.08928571428571429,0.0,0.031578947368421054,0.0923076923076923
0x4e33979619726ae18692ddbf8b254551977b2183,6.5,3,8,1374.27,11,111,22.529016393,38.734830038,3,0,0,0,0,3,0,0,1,0,0,0,0.0,0,28.0,2.0,19.0,13.0,0.44642857142857145,0.0,0.0,0.38461538461538464
0x87b3d4527dc8a3326b5db82eda11f893c47a374c,57.166667,3,12,35046.3,14,163,34.802681231,106.95359383,46,0,0,0,0,9,0,0,2,0,0,0,0.0,9,28.0,2.0,19.0,13.0,-0.5376623376623376,0.0,0.0,0.05034965034965035
0xa24bcc7d891ae996e95d00fd34b393e7f0534a6b,65.666667,6,13,17938.84,15,152,12.303731139,40.147837911,73,0,0,0,0,29,2,0,25,0,2,0,686.06,10,28.0,2.0,19.0,13.0,-1.1280906593406592,0.0,0.017206477732793525,-0.3431952662721894
0x15906996da28bb7fceb4932d0b0a398b240f0e6c,35.333333,7,28,115906.01,15,131,245.563580508,799.220922579,42,0,0,0,0,7,4,0,24,0,3,0,8644.13,10,28.0,2.0,19.0,13.0,-0.39622641509433965,0.0,0.05958291956305859,0.06095791001451379
