WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV,DEX_EVENTS,GAMES_EVENTS,CEX_EVENTS,DAPP_EVENTS,CHADMIN_EVENTS,DEFI_EVENTS,BRIDGE_EVENTS,NFT_EVENTS,TOKEN_EVENTS,FLOTSAM_EVENTS,BRIDGE_OUTFLOW_COUNT,BRIDGE_INFLOW_COUNT,BRIDGE_TOTAL_VOLUME_USD,cluster_label,DEX_EVENTS_MEDIAN,CEX_EVENTS_MEDIAN,BRIDGE_EVENTS_MEDIAN,DEFI_EVENTS_MEDIAN,DEX_EVENTS_ABS_DIST,CEX_EVENTS_ABS_DIST,BRIDGE_EVENTS_ABS_DIST,DEFI_EVENTS_ABS_DIST
0xaa4264cd36c99ba615dd951e41892bdf41499143,14.166667,1,5,2060.29,6,87,12.796832298,86.647457185,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x2f8607395901bcb20969cb72e694351b063b93ea,7.5,2,5,5337.92,5,66,148.275555556,89.746800576,0,0,0,0,0,1,0,0,0,0,0,0,0.0,7,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,0.4054651081081645
0x0ace4bb29da41f00f0ec8646a0c4e9e88cf83e56,22.0,1,5,11484.11,1,55,123.485053763,180.879460288,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x59ff3f8e07757a83c59de828cac978baaeb57465,14.666667,1,1,95.57,1,132,0.3965560166,0.5165254228,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xe59a4ab0ac3d43ba4ef523032f2050b748879697,31.5,12,3,4797.97,1,47,33.552237762,104.780901942,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x92d1bf8356ac73a7fd8c250ae1c7f3748bbecd5a,33.166667,1,3,3493.26,3,180,7.780089087,37.536737746,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xb976062676f83f3f0c478c68cd613f72b34a9cec,7.0,2,3,15411.71,2,171,733.890952381,528.271255808,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xedc9073563c8a079a2e93a902e2b27f470fd5293,1.666667,5,4,996.0,2,18,6.110429448,16.59418271,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x4e6abe1ff20f3e9880df1e4ad0e0935105b19d8e,1.333333,2,4,0.35,3,113,0.175,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xeaea846ff2482b9685b1dfbc11babe81fd93ebd9,15.833333,1,2,247.36,2,98,0.9060805861,1.264260931,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0xa31da0e3598b1382ea67177ad5db8c04c3c07a30,39.833333,2,3,289421.71,2,180,1515.296910995,5218.75316501,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x12ee00aa377d29981107dec1beb63c98dc73f867,4.166667,2,2,1088.47,1,67,68.029375,61.400769587,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x89fd03e2df0b68deb12a8b0d46ce1c112ba4e992,2.5,2,3,4675.14,2,177,89.906538462,114.159434208,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
0x33cfece3b27b1cc9ca8ce1ca5bafb1bd04688613,2.833333,5,3,2331.75,2,50,7.174615385,20.306204211,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6.0,0.0,26.0,2.0,1.9459101490553132,0.0,3.295836866004329,1.0986122886681098
