WALLET,TX_PER_MONTH,TOKEN_DIVERSITY,PROTOCOL_DIVERSITY,TOTAL_TRANSFER_USD,INTERACTION_DIVERSITY,ACTIVE_DURATION_DAYS,AVG_TRANSFER_USD,USD_TRANSFER_STDDEV
0x90ba18cbafadf52ee4a4ab644243a5d4106d1ffd,2284.5,131,5,1583667.83,4,182,1226.69855151,7835.189718412
0x401ceeb7ce7cef3baab0832dbfe8cbbeb336c672,1061.333333,17,1,171046.27,4,182,712.692791667,1108.590729283
0x36775b8b9650111d2ee61b7984ae6e2284f5232e,1007,24,6,41774.05,4455,182,345.240082645,452.284042717
0xe653b9518c5515528b7326972a4233e4001041b8,5833.166667,47,1,31355440.33,34999,182,551.023483938,546.011428096
0x2326a60eb0f874bcb769c32186bf0f60066dab76,2847.666667,82,7,117574.71,2,182,99.470989848,322.608200094
0xb85c47ce86b16361d3216be2d6b317f2c5703f98,2135.333333,195,2,346741.93,2,182,35.835255271,44.230327304
0x2576560b5134d9ba7fd6bcb9071e1f3749135cdb,2313,112,5,977937.92,4,182,744.24499239,4080.852651126
0xee0b5f4fc73e8826f3cd4e5f3b043f18fb5980a4,387,122,1,519801.31,1,182,180.611990966,652.995475705
0x54058b502a47ff61972dac347be87b1bf09906ee,446.666667,8,56,759044.91,18,181,107.452563703,222.416806207
0x8f33720ec632ffd418034c92ddc1b69432fed3d5,802.833333,3,22,103605.85,12,182,9.05170802,67.994588778
0xeae67c8280aeee95626ede83a52c0c9335d51cd6,41.333333,2,2,685.12,2,180,1.433305439,1.480209174
0xae99c1a9d0d19d2ca1de4af506fd4cbd0d862213,361.5,6,3,27052.12,3,182,4.06310003,16.5849814
0xe2422b23e52bc13eba04d7fbb9f332deb43360fb,278,0,1,0,1,85,0,0
0x4b613f5f054489864565abeb2cb3379721f2f9f2,349,4,4,612952.23,4,182,339.39769103,1095.462196266
